word	Tamil-ta	emotion	emotion-intensity-score
outraged	இதனால் வெறுப்புற்று	anger	0.964
brutality	மிருகத்தனமான	anger	0.959
hatred	வெறுப்பு	anger	0.953
hateful	வெறுப்பாக	anger	0.940
terrorize	அச்சுறுத்தும்	anger	0.939
violently	வன்முறையில்	anger	0.938
infuriated	இதனால் ஆத்திரமடைந்த	anger	0.938
furious	சீற்றம்	anger	0.929
enraged	கோபமூட்டி	anger	0.927
furiously	அர்ப்பணிக்கிறார்	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	கொலைகாரன்	anger	0.922
fury	கோபம்	anger	0.922
execution	மரணதண்டனை	anger	0.917
angered	கோபமடைந்த	anger	0.916
savagery	மூர்க்ககுணம்	anger	0.915
slaughtering	உணவுக்காகக்	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	நிர்மூலமாக்கும்	anger	0.912
assassinate	படுகொலை	anger	0.912
rage	ஆத்திரம்	anger	0.911
loathe	வெறு	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	நரக	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	ஆட்கொலை	anger	0.906
furor	பதட்டத்தை	anger	0.900
hostile	விரோதமாக	anger	0.898
annihilate	அழிப்பதால்	anger	0.898
murder	கொலை	anger	0.897
raging	சீற்றத்தோடு	anger	0.896
vengeful	வஞ்சகமான	anger	0.894
rape	கற்பழிப்பு	anger	0.894
ferocious	மூர்க்கமான	anger	0.894
pissed	சிறுநீர்கழித்த	anger	0.894
obliterated	முற்றிலுமாக அழித்துவிட்டு	anger	0.894
infuriates	கொதிப்படையச்	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	வெடிக்கும்	anger	0.894
killing	கொலை	anger	0.893
combative	போர்க்கோலம்	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	பழிவாங்கும்	anger	0.886
torment	வேதனை	anger	0.885
wrath	கோபம்	anger	0.885
vicious	தீய	anger	0.884
massacre	படுகொலை	anger	0.882
threatening	அச்சுறுத்தும்	anger	0.882
pissoff	சிறுநீர் கழி	anger	0.875
abhorrent	அருவருக்கத்தக்க	anger	0.875
bloodthirsty	இரத்தவெறி	anger	0.875
fighting	சண்டை	anger	0.868
annihilated	அழிந்திருப்பதைக்	anger	0.865
attacking	தாக்கி	anger	0.865
angriest	angriest	anger	0.864
bloodshed	இரத்தக்	anger	0.864
smite	வெட்டுவேன்	anger	0.862
brawl	சகாக்கள்	anger	0.861
assault	தாக்குதல்	anger	0.859
malicious	தீங்கிழைக்கும்	anger	0.859
strangle	மூச்சுத்	anger	0.859
tirade	கிளர்ச்சியை	anger	0.859
explode	வெடிக்க	anger	0.859
assassination	படுகொலை	anger	0.859
hostility	விரோதம்	anger	0.859
loathsome	அருவருக்கத்தக்க	anger	0.857
hell	நரகம்	anger	0.853
murderous	கொலைகார	anger	0.853
attack	தாக்குதல்	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	பயங்கரவாதம்	anger	0.851
beating	அடிக்கு	anger	0.849
desecration	இடிக்கப்பட்டது	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	கோபத்தை	anger	0.848
stab	குத்துவது	anger	0.844
