word	Thai-th	emotion	emotion-intensity-score
outraged	ที่ได้ข่มขืน	anger	0.964
brutality	ความโหดร้าย	anger	0.959
hatred	ความเกลียดชัง	anger	0.953
hateful	น่ารังเกียจ	anger	0.940
terrorize	ข่มขวัญ	anger	0.939
violently	อย่างรุนแรง	anger	0.938
infuriated	ที่ได้ทำให้โกรธ	anger	0.938
furious	โกรธ	anger	0.929
enraged	กราดเกรี้ยว	anger	0.927
furiously	คึก	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	ฆาตกร	anger	0.922
fury	การโกรธ	anger	0.922
execution	การกระทำ	anger	0.917
angered	โกรธ	anger	0.916
savagery	ความโหดเหี้ยม	anger	0.915
slaughtering	ฆ่า	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	เพศสัมพันธ์	anger	0.912
annihilation	การทำลายล้าง	anger	0.912
assassinate	ลอบสังหาร	anger	0.912
rage	ความโกรธ	anger	0.911
loathe	เกลียด	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	การสาปแช่ง	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	เกี่ยวกับการฆ่าคน	anger	0.906
furor	ความเกรียวกราว	anger	0.900
hostile	ไม่เป็นมิตร	anger	0.898
annihilate	ทำลาย	anger	0.898
murder	ฆาตกรรม	anger	0.897
raging	ที่บ้าคลั่ง	anger	0.896
vengeful	พยาบาท	anger	0.894
rape	ข่มขืน	anger	0.894
ferocious	ดุร้าย	anger	0.894
pissed	โกรธ	anger	0.894
obliterated	หายไป	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	ระเบิด	anger	0.894
killing	ที่ฆ่า	anger	0.893
combative	พร้อมรบ	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	การแก้แค้น	anger	0.886
torment	ตอแย	anger	0.885
wrath	ความกริ้ว	anger	0.885
vicious	หิน	anger	0.884
massacre	การสังหารหมู่	anger	0.882
threatening	คุกคาม	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	น่ารังเกียจ	anger	0.875
bloodthirsty	กระหายเลือด	anger	0.875
fighting	ศึก	anger	0.868
annihilated	วินาศ	anger	0.865
attacking	โจมตี	anger	0.865
angriest	โมโหโกรธา	anger	0.864
bloodshed	การนองเลือด	anger	0.864
smite	ตบอย่างแรง	anger	0.862
brawl	ทะเลาะกัน	anger	0.861
assault	โจมตี	anger	0.859
malicious	ร้าย	anger	0.859
strangle	บีบคอ	anger	0.859
tirade	คำด่าว่า	anger	0.859
explode	ระเบิด	anger	0.859
assassination	การลอบสังหาร	anger	0.859
hostility	ความเป็นปรปักษ์	anger	0.859
loathsome	น่าขยะแขยง	anger	0.857
hell	นรก	anger	0.853
murderous	เกี่ยวกับการฆาตกรรม	anger	0.853
attack	โจมตี	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	ลัทธิก่อการร้าย	anger	0.851
beating	การเต้น	anger	0.849
desecration	การดูหมิ่นศาสนา	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	ข่มขืน	anger	0.848
stab	แทง	anger	0.844
slaughter	ฆ่า	anger	0.844
violent	รุนแรง	anger	0.844
destroying	ทำลาย	anger	0.844
abomination	สิ่งที่น่ารังเกียจ	anger	0.844
tumultuous	สับสนวุ่นวาย	anger	0.844
irate	โกรธ	anger	0.844
infuriate	ทำให้โกรธ	anger	0.844
obliterate	ลบล้าง	anger	0.843
belligerent	ที่ทะเลาะกัน	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	ชัง	anger	0.838
hostilities	สงคราม	anger	0.837
prick	ทิ่ม	anger	0.835
torture	การทรมาน	anger	0.833
rabid	บ้า	anger	0.833
horrid	น่าเกลียดน่ากลัว	anger	0.833
rampage	อาละวาด	anger	0.833
cruelty	ความโหดร้าย	anger	0.833
hate	เกลียด	anger	0.828
demonic	ผิดมนุษย์	anger	0.828
hating	เทวศ	anger	0.828
satanic	ซาตาน	anger	0.828
tyrannical	เผด็จการ	anger	0.828
ragemode	NO TRANSLATION	anger	0.828
despicable	น่ารังเกียจ	anger	0.828
ruinous	ซึ่งล่มจม	anger	0.825
condemn	กล่าวโทษ	anger	0.825
riots	การจลาจล	anger	0.824
demolish	ทำลาย	anger	0.824
angry	โกรธ	anger	0.824
extermination	การกำจัด	anger	0.824
dickhead	DICKHEAD	anger	0.824
livid	ซีด	anger	0.821
madman	คนบ้า	anger	0.820
vindictive	พยาบาท	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ความดุร้าย	anger	0.818
venomous	มีพิษ	anger	0.818
threaten	ขู่	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	ผู้ก่อการร้าย	anger	0.818
abhor	เกลียดชัง	anger	0.816
savage	อำมหิต	anger	0.814
atrocity	ความโหดร้าย	anger	0.814
carnage	การสังหาร	anger	0.814
berserk	บ้าดีเดือด	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	การละเมิด	anger	0.812
tyrant	เผด็จการ	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	ความพยาบาทอันยาวนาน	anger	0.812
fierce	ดุร้าย	anger	0.812
destroyer	ผู้ทำลาย	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	เป็นควัน	anger	0.812
barbaric	ป่าเถื่อน	anger	0.812
anger	ความโกรธ	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	เสียงดังปัง	anger	0.803
fights	การต่อสู้	anger	0.803
punched	เจาะ	anger	0.803
bitch	ผู้หญิงเลว	anger	0.803
punching	การไล่	anger	0.803
homicide	ฆาตกรรม	anger	0.803
destructive	เป็นอันตราย	anger	0.797
ruthless	เหี้ยม	anger	0.797
villainous	ชั่วร้าย	anger	0.797
slap	ตบ	anger	0.791
slaughterhouse	โรงฆ่าสัตว์	anger	0.788
punishing	ฆ่า	anger	0.788
destroyed	ทำลาย	anger	0.788
retaliatory	ซึ่งตอบโต้	anger	0.788
riot	จลาจล	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	การโห่ร้อง	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	โหดร้าย	anger	0.788
manslaughter	การฆาตกรรม	anger	0.783
clash	ปะทะกัน	anger	0.783
bloody	กระหายเลือด	anger	0.781
hellish	อัปรีย์	anger	0.781
loath	ไม่เต็มใจ	anger	0.781
detonation	ระเบิด	anger	0.781
quarrel	ทะเลาะ	anger	0.781
sinister	น่ากลัว	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	ที่กล่าวหา	anger	0.779
treacherous	ขายชาติ	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	ตอบโต้	anger	0.773
revulsion	ความรังเกียจอย่างแรง	anger	0.773
madder	ต้นแมดเดอร์	anger	0.773
horrific	น่ากลัว	anger	0.773
scorn	ดูถูก	anger	0.769
deplorable	น่าเสียดาย	anger	0.766
bomb	วางระเบิด	anger	0.766
anarchist	ผู้นิยมอนาธิปไตย	anger	0.765
devastation	การทำลายล้าง	anger	0.765
resent	ไม่พอใจ	anger	0.765
firestorm	เปลวไฟ	anger	0.765
contemptible	น่ารังเกียจ	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	โหดร้าย	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	มฤตยู	anger	0.758
smash	ชน	anger	0.758
rant	พูดจาโผงผาง	anger	0.758
outburst	การระเบิดออก	anger	0.757
snarl	คำราม	anger	0.754
profane	ดูหมิ่น	anger	0.750
offend	ขัดใจ	anger	0.750
douchebags	douchebags	anger	0.750
growling	คำราม	anger	0.750
stfu	หุบปาก	anger	0.750
vulgarity	คำหยาบ	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	อาละวาด	anger	0.750
despise	ชัง	anger	0.750
horror	ความน่ากลัว	anger	0.750
aggravating	aggravating	anger	0.750
revolting	น่ารังเกียจ	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	การคุกคาม	anger	0.742
erupt	ปะทุ	anger	0.742
screaming	น่าขันพิลึก	anger	0.742
violence	ความรุนแรง	anger	0.742
horrible	น่ากลัว	anger	0.742
molestation	การรุกราน	anger	0.742
bastards	ไอ้	anger	0.741
revenge	แก้แค้น	anger	0.738
catastrophe	ภัยพิบัติ	anger	0.735
menacing	น่ากลัว	anger	0.735
demon	ปิศาจ	anger	0.735
crushing	ย่อยยับ	anger	0.735
damn	ประณาม	anger	0.735
persecute	กลั่นแกล้ง	anger	0.734
argue	เถียง	anger	0.734
flog	โบย	anger	0.734
revolt	จลาจล	anger	0.734
thrash	ฟาด	anger	0.734
deplore	เสียใจ	anger	0.734
warfare	การสู้รบ	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	ดุดัน	anger	0.734
riotous	เกี่ยวกับการจลาจล	anger	0.734
altercation	การทะเลาะ	anger	0.729
warlike	ชวนทะเลาะ	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	กบฏ	anger	0.727
castrate	ตัดอัณฑะ	anger	0.727
sabotage	การก่อวินาศกรรม	anger	0.727
malevolent	ซึ่งคิดร้าย	anger	0.721
strike	การนัดหยุดงาน	anger	0.721
disaster	ภัยพิบัติ	anger	0.721
disastrous	หายนะ	anger	0.720
tumult	ความวุ่นวาย	anger	0.719
madden	ทำให้เป็นบ้า	anger	0.719
devil	ปีศาจ	anger	0.719
scream	กรีดร้อง	anger	0.719
brutal	โหดร้าย	anger	0.719
treachery	การทรยศ	anger	0.719
scorching	เปรี้ยง	anger	0.719
vermin	บุคคลที่น่ารังเกียจ	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	โกหก	anger	0.719
aggravates	aggravates	anger	0.719
spiteful	อาฆาตแค้น	anger	0.719
slay	ฆ่า	anger	0.719
disdain	ดูถูก	anger	0.719
choke	ตัน	anger	0.719
bastarding	bastarding	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	อนาธิปไตย	anger	0.714
mutilation	การตัด	anger	0.714
criminal	อาชญากร	anger	0.714
denunciation	การกล่าวโทษ	anger	0.713
punch	หมัด	anger	0.713
crucifixion	การตรึงกางเขน	anger	0.712
virulence	ความรุนแรง	anger	0.712
battled	ต่อสู้	anger	0.712
fatal	ร้ายแรง	anger	0.712
holocaust	ความหายนะ	anger	0.712
blasphemous	ซึ่งดูหมิ่นศาสนา	anger	0.712
hurting	การทำให้เจ็บ	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	บ้า	anger	0.706
atrocious	เลวร้าย	anger	0.706
evil	ชั่วร้าย	anger	0.706
irritated	ระคายเคือง	anger	0.706
assassin	ฆาตกร	anger	0.703
dicks	จู๋	anger	0.703
persecution	การประหัตประหาร	anger	0.703
slayer	ผู้ฆ่า	anger	0.703
kidnap	ลักพาตัว	anger	0.703
scolding	การด่าว่า	anger	0.703
intimidation	การข่มขู่	anger	0.703
aggravated	กำเริบ	anger	0.703
aggression	การรุกราน	anger	0.702
armed	ติดอาวุธ	anger	0.700
poison	ยาพิษ	anger	0.697
snarling	แยกเขี้ยว	anger	0.697
venom	พิษ	anger	0.697
battle	การต่อสู้	anger	0.697
disgruntled	ไม่พอใจ	anger	0.693
insidious	ร้ายกาจ	anger	0.691
assailant	ผู้โจมตี	anger	0.691
resentment	ความไม่พอใจ	anger	0.691
lynch	ประชาทัณฑ์	anger	0.690
contemptuous	ดูถูก	anger	0.690
temper	อารมณ์	anger	0.688
imprisonment	การจำคุก	anger	0.688
disparage	ดูหมิ่น	anger	0.688
bully	คนพาล	anger	0.688
terrible	น่ากลัว	anger	0.688
lunatic	คนบ้า	anger	0.688
curse	คำสาป	anger	0.688
makesmemad	makesmemad	anger	0.688
peeved	โกรธ	anger	0.688
domination	การปกครอง	anger	0.688
mad	บ้า	anger	0.688
infanticide	การฆ่าทารก	anger	0.688
volatility	การระเหย	anger	0.687
eradication	การกำจัด	anger	0.685
tantrum	อารมณ์ฉุนเฉียว	anger	0.682
devastate	ทำลายล้าง	anger	0.682
eradicate	กำจัด	anger	0.682
scoundrel	ตัวโกง	anger	0.682
aggressively	อุกอาจ	anger	0.680
agitation	การก่อกวน	anger	0.680
dictatorship	อำนาจเผด็จการ	anger	0.676
irritates	ระคายเคือง	anger	0.676
profanity	การดูหมิ่น	anger	0.673
egregious	มหันต์	anger	0.672
expletive	ที่ผนวกเข้าไป	anger	0.672
nasty	น่ารังเกียจ	anger	0.672
shove	ซุก	anger	0.672
shot	การถ่ายภาพ	anger	0.672
harmful	เป็นอันตราย	anger	0.672
aggravation	การทำให้รุนแรงขึ้น	anger	0.672
contempt	ดูถูก	anger	0.672
poisonous	เป็นพิษ	anger	0.672
dastardly	ขี้ขลาดตาขาว	anger	0.672
shoot	ยิง	anger	0.672
corrupting	ให้สินบน	anger	0.672
condemnation	การลงโทษ	anger	0.672
wreak	ระบาย	anger	0.672
crushed	บด	anger	0.672
cruelly	โหดร้าย	anger	0.672
crime	อาชญากรรม	anger	0.672
maniac	คนบ้า	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	การปะทุ	anger	0.667
odious	น่าเกลียดชัง	anger	0.667
shooting	การยิง	anger	0.667
kick	เตะ	anger	0.667
aggressive	ก้าวร้าว	anger	0.667
combat	การต่อสู้	anger	0.667
shout	เสียงร้อง	anger	0.667
hit	ตี	anger	0.667
fight	สู้	anger	0.667
cutthroat	ฆาตกร	anger	0.667
enemy	ศัตรู	anger	0.667
irritable	ระคายเคือง	anger	0.667
punished	ลงโทษ	anger	0.662
ambush	ที่ซุ่ม	anger	0.661
yell	เสียงโห่ร้อง	anger	0.661
harass	ราวี	anger	0.659
malignant	ร้าย	anger	0.656
aggressor	ผู้รุกราน	anger	0.656
antichrist	มาร	anger	0.656
gore	ขวิด	anger	0.656
incense	ธูป	anger	0.656
expel	ขับไล่	anger	0.656
destruction	การทำลาย	anger	0.656
grudge	ความเสียใจ	anger	0.656
cranky	บ้าๆบอ ๆ	anger	0.653
offended	ที่กระทำผิดกฎหมาย	anger	0.652
spank	ตบ	anger	0.652
growl	การคำราม	anger	0.652
insurrection	การจลาจล	anger	0.652
reprisal	การแก้แค้น	anger	0.652
slave	ทาส	anger	0.652
denounce	ปรักปรำ	anger	0.652
animosity	ความเป็นปรปักษ์	anger	0.652
insulting	ที่ดูถูก	anger	0.652
clashing	การปะทะกัน	anger	0.652
growls	คำราม	anger	0.649
executioner	ผู้สำเร็จโทษ	anger	0.644
twat	twat	anger	0.644
doomsday	วันโลกาวินาศ	anger	0.643
daemon	ภูต	anger	0.641
obscenity	อนาจาร	anger	0.641
bombard	กระหน่ำยิง	anger	0.641
spat	ทะเลาะวิวาทกัน	anger	0.641
havoc	ความเสียหาย	anger	0.641
feud	อาฆาต	anger	0.641
grr	GRR	anger	0.641
arson	การลอบวางเพลิง	anger	0.641
reprimand	ตำหนิ	anger	0.641
expulsion	การขับไล่	anger	0.641
inexcusable	อภัยไม่ได้	anger	0.641
accused	ผู้ถูกกล่าวหา	anger	0.641
indignant	ไม่พอใจ	anger	0.641
shackle	กุญแจมือ	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	บาดแผล	anger	0.636
suicidal	การฆ่าตัวตาย	anger	0.636
poisoned	วางยาพิษ	anger	0.636
batter	ปะทะ	anger	0.636
kicking	เตะ	anger	0.636
hanging	ที่แขวนอยู่	anger	0.636
spanking	ที่ตบ	anger	0.636
disgusting	น่าสะอิดสะเอียน	anger	0.636
combatant	ทหาร	anger	0.636
frustrated	ผิดหวัง	anger	0.636
anarchy	อนาธิปไตย	anger	0.636
glaring	แจ๋	anger	0.636
inflict	ลงโทษ	anger	0.633
wrecked	อับปางแล้ว	anger	0.633
grievous	สาหัส	anger	0.632
prosecute	ฟ้องคดี	anger	0.630
agitated	ตื่นเต้น	anger	0.630
cheat	โกง	anger	0.630
swastika	เครื่องหมายโชคดี	anger	0.627
defamatory	ซึ่งทำให้เสียชื่อเสียง	anger	0.625
suffocation	การหายใจไม่ออก	anger	0.625
strife	การปะทะกัน	anger	0.625
provocation	สิ่งเร้า	anger	0.625
injure	ทำให้ได้รับบาดเจ็บ	anger	0.625
harassing	ที่คอยรังควาน	anger	0.625
scourge	ระบาด	anger	0.625
cursing	การแช่ง	anger	0.625
betray	ทรยศ	anger	0.625
indict	ฟ้อง	anger	0.625
raid	โจมตี	anger	0.625
thundering	ร้ายกาจ	anger	0.625
enslaved	แบบกดขี่	anger	0.625
arsehole	arsehole	anger	0.624
insane	บ้า	anger	0.621
fiend	อสูร	anger	0.621
irritate	ระคายเคือง	anger	0.621
convict	นักโทษ	anger	0.621
jerk	ฉุด	anger	0.621
theft	โจรกรรม	anger	0.621
retaliation	การตอบโต้	anger	0.621
deprivation	การกีดกัน	anger	0.621
cussed	สบถ	anger	0.619
turmoil	ความสับสนอลหม่าน	anger	0.618
smack	ตี	anger	0.615
retribution	ผลกรรม	anger	0.614
twats	twats	anger	0.609
intolerable	มากเกินไป	anger	0.609
rebellion	กบฏ	anger	0.609
injurious	เสียหาย	anger	0.609
oppressor	ผู้กดขี่	anger	0.609
slavery	ความเป็นทาส	anger	0.609
irritability	ความหงุดหงิด	anger	0.609
collision	การปะทะกัน	anger	0.609
bitterly	สาหัส	anger	0.609
gang	แก๊ง	anger	0.609
antagonism	การเป็นปรปักษ์กัน	anger	0.609
battery	แบตเตอรี่	anger	0.609
adverse	ตรงข้าม	anger	0.609
disgraced	ศักดิ์ศรี	anger	0.608
irritating	ที่ทำให้โกรธ	anger	0.606
revolution	การปฏิวัติ	anger	0.606
thug	อันธพาล	anger	0.606
diatribe	คำติเตียนกลาวร้าย	anger	0.606
bombardment	การทิ้งระเบิด	anger	0.606
blast	ระเบิด	anger	0.606
irks	irks	anger	0.606
sickening	น่าเวียนหัว	anger	0.606
discrimination	การแบ่งแยก	anger	0.606
antagonistic	เป็นศัตรูกัน	anger	0.606
ranting	ที่คุยโว	anger	0.606
asshole	ไอ้	anger	0.606
frustrate	อึดอัด	anger	0.604
manipulation	การจัดการ	anger	0.603
tension	ความตึงเครียด	anger	0.603
insult	ดูถูก	anger	0.603
bigot	คนหัวดื้อ	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	ซึ่งเป็นอันตราย	anger	0.603
oppression	การกดขี่	anger	0.603
disgust	ความรังเกียจ	anger	0.602
spite	ทั้งๆ	anger	0.600
intrusive	ซึ่งล่วงล้ำ	anger	0.598
harshness	ความรุนแรง	anger	0.597
slur	ร้องทอดเสียง	anger	0.596
wretch	คนเคราะห์ร้าย	anger	0.594
inferno	นรก	anger	0.594
invasion	การบุกรุก	anger	0.594
puncture	เจาะ	anger	0.594
miserable	อนาถ	anger	0.594
assail	ทำร้าย	anger	0.594
storming	ระดม	anger	0.594
casualty	อุบัติเหตุ	anger	0.594
bitterness	ความขมขื่น	anger	0.594
morbidity	ความผิดปกติ	anger	0.594
tempest	ความวุ่นวาย	anger	0.594
consternation	ความตกตะลึง	anger	0.592
depraved	ต่ำช้า	anger	0.591
raving	เพ้อ	anger	0.591
guillotine	กิโยตีน	anger	0.591
guilty	รู้สึกผิด	anger	0.591
immoral	ผิดศีลธรรม	anger	0.591
forcibly	โดยการบังคับ	anger	0.591
overpowering	ที่เอาชนะ	anger	0.591
accursed	ถูกสาป	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	พยศ	anger	0.588
invader	ผู้รุกราน	anger	0.588
scare	ทำให้ตกใจ	anger	0.588
screwed	เมา	anger	0.588
indignation	ความไม่พอใจ	anger	0.587
jealousy	ความหึงหวง	anger	0.587
vexed	ที่ได้ถูกก่อกวน	anger	0.586
confront	เผชิญหน้า	anger	0.582
brute	เดรัจฉาน	anger	0.581
throttle	เค้น	anger	0.579
wreck	การก่อวินาศกรรม	anger	0.578
revolver	ปืนพกลูก	anger	0.578
slut	ดอกทอง	anger	0.578
yousuck	yousuck	anger	0.578
damage	ความเสียหาย	anger	0.578
butcher	คนขายเนื้อ	anger	0.578
conflict	ขัดกัน	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	ความผิดทางอาญา	anger	0.578
bickering	การทะเลาะวิวาท	anger	0.578
pillage	ปล้น	anger	0.578
blaze	เปลวไฟ	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	ทำรัฐประหาร	anger	0.578
contentious	ที่ถกเถียงกัน	anger	0.578
incarceration	การจำคุก	anger	0.578
defiant	ที่ท้าทาย	anger	0.578
provoking	ยั่ว	anger	0.578
lash	ขนตา	anger	0.578
cancer	โรคมะเร็ง	anger	0.577
frustration	แห้ว	anger	0.576
gory	เต็มไปด้วยเลือด	anger	0.576
alienation	การโอนเงิน	anger	0.576
discord	ความบาดหมางกัน	anger	0.576
disturbance	การรบกวน	anger	0.576
grope	ควาน	anger	0.576
condescension	การยอมรับ	anger	0.576
pernicious	เป็นอันตราย	anger	0.576
blasphemy	การดูหมิ่น	anger	0.576
discriminate	เห็นความแตกต่าง	anger	0.576
chaotic	วุ่นวาย	anger	0.576
gun	ปืน	anger	0.576
standoff	ขัดแย้ง	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	เยาะเย้ย	anger	0.574
lunacy	ความบ้า	anger	0.574
oppressive	กดขี่	anger	0.574
death	ความตาย	anger	0.574
jab	กระทุ้ง	anger	0.574
cursed	ถูกสาป	anger	0.574
scandalous	อื้อฉาว	anger	0.574
monstrosity	ความโหดร้าย	anger	0.574
shit	อึ	anger	0.573
disparaging	ซึ่งทำให้เสียชื่อ	anger	0.571
slash	เฉือน	anger	0.571
unfair	ไม่ยุติธรรม	anger	0.571
gallows	ตะแลงแกง	anger	0.570
escalate	บานปลาย	anger	0.569
intolerant	ไม่ทน	anger	0.564
lawlessness	ความไร้ระเบียบ	anger	0.563
bluddy	bluddy	anger	0.562
perdition	นรก	anger	0.562
taunt	ยั่วยุ	anger	0.562
grouchy	หงุดหงิด	anger	0.562
torpedo	ตอร์ปิโด	anger	0.562
deceived	หลอก	anger	0.562
slander	ใส่ร้าย	anger	0.562
retards	retards	anger	0.562
bearish	งุ่มง่าม	anger	0.562
invade	บุก	anger	0.562
bellows	สูบลม	anger	0.562
beast	สัตว์ป่า	anger	0.562
frightful	น่ากลัว	anger	0.562
derogatory	เสื่อมเสีย	anger	0.562
glare	แสงจ้า	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	น่ากลัว	anger	0.562
traitor	คนทรยศ	anger	0.562
malign	กล่าวหา	anger	0.562
wrangling	การทะเลาะวิวาท	anger	0.562
dissension	ความร้าวฉาน	anger	0.561
banshee	Banshee	anger	0.561
shatter	ป่นปี้	anger	0.561
conflagration	อัคคีภัย	anger	0.561
jeopardize	เป็นอันตรายต่อ	anger	0.561
thief	ขโมย	anger	0.561
rave	คลั่ง	anger	0.561
grating	ตะแกรง	anger	0.561
devastating	ซึ่งล้างผลาญ	anger	0.561
idiots	โง่	anger	0.561
betrayal	การทรยศ	anger	0.561
uncontrollable	ไม่สามารถบังคับได้	anger	0.561
fits	พอดี	anger	0.561
cross	ข้าม	anger	0.561
hurt	ทำให้เจ็บ	anger	0.561
disturbed	กระวนกระวายใจ	anger	0.559
subjugation	การปราบปราม	anger	0.559
stomped	กระทืบ	anger	0.557
grab	คว้า	anger	0.557
ticked	ticked	anger	0.556
