word	Turkish-tr	emotion	emotion-intensity-score
outraged	çileden	anger	0.964
brutality	vahşilik	anger	0.959
hatred	kin	anger	0.953
hateful	nefret dolu	anger	0.940
terrorize	korkutmak	anger	0.939
violently	şiddetle	anger	0.938
infuriated	çileden çıkardı	anger	0.938
furious	öfkeli	anger	0.929
enraged	öfkeli	anger	0.927
furiously	azgınca	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	katil	anger	0.922
fury	öfke	anger	0.922
execution	icra	anger	0.917
angered	kızdırdı	anger	0.916
savagery	vahşet	anger	0.915
slaughtering	kesim	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	yok etme	anger	0.912
assassinate	öldürmek	anger	0.912
rage	öfke	anger	0.911
loathe	tiksinmek	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	lanet	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	öldürücü	anger	0.906
furor	taşkınlık	anger	0.900
hostile	düşmanca	anger	0.898
annihilate	yoketmek	anger	0.898
murder	cinayet	anger	0.897
raging	şiddetli	anger	0.896
vengeful	intikamcı	anger	0.894
rape	kolza	anger	0.894
ferocious	yırtıcı	anger	0.894
pissed	sarhoş	anger	0.894
obliterated	oblitere	anger	0.894
infuriates	kızdırıyor	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	patlayıcı	anger	0.894
killing	öldürme	anger	0.893
combative	hırçın	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	intikam	anger	0.886
torment	işkence	anger	0.885
wrath	gazap	anger	0.885
vicious	ahlaksız	anger	0.884
massacre	katliam	anger	0.882
threatening	tehdit	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	iğrenç	anger	0.875
bloodthirsty	kana susamış	anger	0.875
fighting	kavga	anger	0.868
annihilated	imha	anger	0.865
attacking	saldırma	anger	0.865
angriest	sinirli	anger	0.864
bloodshed	kan dökme	anger	0.864
smite	çarpmak	anger	0.862
brawl	kavga	anger	0.861
assault	saldırı	anger	0.859
malicious	kötü niyetli	anger	0.859
strangle	boğmak	anger	0.859
tirade	tirad	anger	0.859
explode	patlamak	anger	0.859
assassination	suikast	anger	0.859
hostility	düşmanlık	anger	0.859
loathsome	tiksindirici	anger	0.857
hell	cehennem	anger	0.853
murderous	ölüm saçan	anger	0.853
attack	saldırı	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terörizm	anger	0.851
beating	dayak	anger	0.849
desecration	hürmetsizlik	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	rezalet	anger	0.848
stab	bıçaklama	anger	0.844
slaughter	katliam	anger	0.844
violent	şiddetli	anger	0.844
destroying	tahrip	anger	0.844
abomination	nefret	anger	0.844
tumultuous	kargaşalı	anger	0.844
irate	kızgın	anger	0.844
infuriate	kızdırmak	anger	0.844
obliterate	yoketmek	anger	0.843
belligerent	savaşan	anger	0.841
