word	Ukrainian-uk	emotion	emotion-intensity-score
outraged	обурений	anger	0.964
brutality	жорстокість	anger	0.959
hatred	ненависть	anger	0.953
hateful	ненависна	anger	0.940
terrorize	тероризувати	anger	0.939
violently	сильно	anger	0.938
infuriated	розлючені	anger	0.938
furious	лютий	anger	0.929
enraged	розлючений	anger	0.927
furiously	люто	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	вбивця	anger	0.922
fury	лють	anger	0.922
execution	виконання	anger	0.917
angered	розгнівався	anger	0.916
savagery	жорстокість	anger	0.915
slaughtering	забій	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	фукофф	anger	0.912
annihilation	анігіляція	anger	0.912
assassinate	вбити	anger	0.912
rage	гнів	anger	0.911
loathe	ненавидіти	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	прокляття	anger	0.906
fucktard	Фуккард	anger	0.906
homicidal	вбивство	anger	0.906
furor	фурор	anger	0.900
hostile	вороже	anger	0.898
annihilate	анігілювати	anger	0.898
murder	вбивство	anger	0.897
raging	бурхливий	anger	0.896
vengeful	мстивий	anger	0.894
rape	згвалтування	anger	0.894
ferocious	жахливий	anger	0.894
pissed	похмілля	anger	0.894
obliterated	знищений	anger	0.894
infuriates	бушує	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	вибуховий	anger	0.894
killing	вбивство	anger	0.893
combative	бойовий	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	помста	anger	0.886
torment	мучити	anger	0.885
wrath	гнів	anger	0.885
vicious	порочний	anger	0.884
massacre	різанина	anger	0.882
threatening	загрозливий	anger	0.882
pissoff	відвали	anger	0.875
abhorrent	відчайдушний	anger	0.875
bloodthirsty	кровожерний	anger	0.875
fighting	бійки	anger	0.868
annihilated	знищений	anger	0.865
attacking	атакуючи	anger	0.865
angriest	гнівний	anger	0.864
bloodshed	кровопролиття	anger	0.864
smite	вдарити	anger	0.862
brawl	бійка	anger	0.861
assault	штурм	anger	0.859
malicious	шкідливий	anger	0.859
strangle	задушити	anger	0.859
tirade	тирада	anger	0.859
explode	вибухнути	anger	0.859
assassination	вбивство	anger	0.859
hostility	ворожість	anger	0.859
loathsome	мерзкий	anger	0.857
hell	пекло	anger	0.853
murderous	смертоносний	anger	0.853
attack	атака	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	тероризм	anger	0.851
beating	бити	anger	0.849
desecration	осквернення	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	обурення	anger	0.848
stab	колоти	anger	0.844
slaughter	забій	anger	0.844
violent	насильницький	anger	0.844
destroying	руйнуючи	anger	0.844
abomination	гидота	anger	0.844
tumultuous	бурхливий	anger	0.844
irate	роздратований	anger	0.844
infuriate	розлютити	anger	0.844
obliterate	стерти	anger	0.843
belligerent	войовничий	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	ненавидіти	anger	0.838
hostilities	військові дії	anger	0.837
prick	укол	anger	0.835
torture	катування	anger	0.833
rabid	гадкий	anger	0.833
horrid	жахливий	anger	0.833
rampage	буйство	anger	0.833
cruelty	жорстокість	anger	0.833
hate	ненавидіти	anger	0.828
demonic	демонічний	anger	0.828
hating	ненавидіти	anger	0.828
satanic	сатанинський	anger	0.828
tyrannical	тиранічний	anger	0.828
ragemode	NO TRANSLATION	anger	0.828
despicable	мерзкий	anger	0.828
ruinous	руйнівний	anger	0.825
condemn	засудити	anger	0.825
riots	бунти	anger	0.824
demolish	знести	anger	0.824
angry	сердитий	anger	0.824
extermination	винищення	anger	0.824
dickhead	дікгол	anger	0.824
livid	живий	anger	0.821
madman	божевільний	anger	0.820
vindictive	мерзенний	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	жорстокість	anger	0.818
venomous	отруйний	anger	0.818
threaten	загрожуй	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	терорист	anger	0.818
abhor	лякайся	anger	0.816
savage	дикун	anger	0.814
atrocity	злодіяння	anger	0.814
carnage	різанина	anger	0.814
berserk	берсерк	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	зловживання	anger	0.812
tyrant	тиран	anger	0.812
fucksake	кусати	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	Вендетта	anger	0.812
fierce	запеклий	anger	0.812
destroyer	руйнівник	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	дымящийся	anger	0.812
barbaric	варварський	anger	0.812
anger	гнів	anger	0.811
pieceofshit	шматочок	anger	0.810
slam	хлюпати	anger	0.803
fights	бійки	anger	0.803
punched	перфорований	anger	0.803
bitch	сука	anger	0.803
punching	штампування	anger	0.803
homicide	вбивство	anger	0.803
destructive	руйнівний	anger	0.797
ruthless	нещадний	anger	0.797
villainous	лиходій	anger	0.797
slap	ляпати	anger	0.791
slaughterhouse	бойня	anger	0.788
punishing	карати	anger	0.788
destroyed	зруйнований	anger	0.788
retaliatory	відбиток	anger	0.788
riot	бунт	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	кричав	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	диявольський	anger	0.788
manslaughter	вбивство	anger	0.783
clash	зіткнення	anger	0.783
bloody	кривавий	anger	0.781
hellish	пекельний	anger	0.781
loath	негідний	anger	0.781
detonation	детонація	anger	0.781
quarrel	сварка	anger	0.781
sinister	зловісний	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	звинувачують	anger	0.779
treacherous	зрадницький	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	відповідь	anger	0.773
revulsion	відродження	anger	0.773
madder	божевільний	anger	0.773
horrific	жахливо	anger	0.773
scorn	презирство	anger	0.769
deplorable	жалюгідний	anger	0.766
bomb	бомба	anger	0.766
anarchist	анархіст	anger	0.765
devastation	спустошення	anger	0.765
resent	обурений	anger	0.765
firestorm	вогонь	anger	0.765
contemptible	презирливий	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	жорстокий	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	смертельно	anger	0.758
smash	розбити	anger	0.758
rant	рант	anger	0.758
outburst	вибух	anger	0.757
snarl	скупо	anger	0.754
profane	профанний	anger	0.750
offend	ображати	anger	0.750
douchebags	душечки	anger	0.750
growling	гуркотує	anger	0.750
stfu	stfu	anger	0.750
vulgarity	вульгарність	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	божевільний	anger	0.750
despise	зневажай	anger	0.750
horror	жах	anger	0.750
aggravating	обтяжуючи	anger	0.750
revolting	бунтарський	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	загроза	anger	0.742
erupt	вивернути	anger	0.742
screaming	кричати	anger	0.742
violence	насильство	anger	0.742
horrible	жахливо	anger	0.742
molestation	розбухання	anger	0.742
bastards	ублюдки	anger	0.741
revenge	помста	anger	0.738
catastrophe	катастрофа	anger	0.735
menacing	загрозливий	anger	0.735
demon	демон	anger	0.735
crushing	дроблення	anger	0.735
damn	чертовски	anger	0.735
persecute	переслідувати	anger	0.734
argue	стверджуй	anger	0.734
flog	флог	anger	0.734
revolt	бунт	anger	0.734
thrash	трэш	anger	0.734
deplore	вибачте	anger	0.734
warfare	війна	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	похмурий	anger	0.734
riotous	буйний	anger	0.734
altercation	сплеск	anger	0.729
warlike	войовничий	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	заколот	anger	0.727
castrate	кастратизувати	anger	0.727
sabotage	саботаж	anger	0.727
malevolent	зловмисний	anger	0.721
strike	страйкувати	anger	0.721
disaster	катастрофа	anger	0.721
disastrous	катастрофічний	anger	0.720
tumult	бурмотіти	anger	0.719
madden	madden	anger	0.719
devil	диявол	anger	0.719
scream	кричати	anger	0.719
brutal	жорстокий	anger	0.719
treachery	зрада	anger	0.719
scorching	палаючий	anger	0.719
vermin	паразити	anger	0.719
arseholes	арсезонки	anger	0.719
horseshit	піднімаємося	anger	0.719
aggravates	загострюється	anger	0.719
spiteful	злобний	anger	0.719
slay	убити	anger	0.719
disdain	зневажити	anger	0.719
choke	дросеть	anger	0.719
bastarding	ублюдок	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	анархізм	anger	0.714
mutilation	каліцтво	anger	0.714
criminal	кримінальний	anger	0.714
denunciation	денонсація	anger	0.713
punch	удар	anger	0.713
crucifixion	розп'яття	anger	0.712
virulence	вірулентність	anger	0.712
battled	боровся	anger	0.712
fatal	фатальний	anger	0.712
holocaust	холокост	anger	0.712
blasphemous	блюзнірський	anger	0.712
hurting	поранення	anger	0.712
dumbasses	бездумні	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	смутний	anger	0.706
atrocious	жахливий	anger	0.706
evil	зло	anger	0.706
irritated	дратує	anger	0.706
assassin	вбивця	anger	0.703
dicks	дітки	anger	0.703
persecution	переслідування	anger	0.703
slayer	вбивця	anger	0.703
kidnap	викрадай	anger	0.703
scolding	відкидання	anger	0.703
intimidation	залякування	anger	0.703
aggravated	загострення	anger	0.703
aggression	агресія	anger	0.702
armed	озброєний	anger	0.700
poison	отрута	anger	0.697
snarling	рыкає	anger	0.697
venom	отрута	anger	0.697
battle	битва	anger	0.697
disgruntled	невдоволений	anger	0.693
insidious	підступний	anger	0.691
assailant	нападник	anger	0.691
resentment	обурення	anger	0.691
lynch	лінч	anger	0.690
contemptuous	презирливий	anger	0.690
temper	темперамент	anger	0.688
imprisonment	позбавлення волі	anger	0.688
disparage	зневажати	anger	0.688
bully	хуліган	anger	0.688
terrible	страшний	anger	0.688
lunatic	божевільна	anger	0.688
