word	Urdu-ur	emotion	emotion-intensity-score
outraged	نفرت	anger	0.964
brutality	ظلم	anger	0.959
hatred	نفرت	anger	0.953
hateful	نفرت سے نفرت	anger	0.940
terrorize	دہشت گردی	anger	0.939
violently	خلاف ورزی	anger	0.938
infuriated	اڑایا	anger	0.938
furious	غصہ	anger	0.929
enraged	نفرت	anger	0.927
furiously	افسوس	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	قاتل	anger	0.922
fury	غصہ	anger	0.922
execution	عملدرآمد	anger	0.917
angered	غصہ	anger	0.916
savagery	وحی	anger	0.915
slaughtering	ذبح کرنا	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	آخر میں	anger	0.912
annihilation	تباہی	anger	0.912
assassinate	قتل	anger	0.912
rage	غصہ	anger	0.911
loathe	loathe	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	بدمعاش	anger	0.906
fucktard	آخرکار	anger	0.906
homicidal	گھریلو	anger	0.906
furor	فرور	anger	0.900
hostile	دشمن	anger	0.898
annihilate	تباہ کرنا	anger	0.898
murder	قتل	anger	0.897
raging	زراعت	anger	0.896
vengeful	انتقام	anger	0.894
rape	عصمت دری	anger	0.894
ferocious	فریب	anger	0.894
pissed	ناراض	anger	0.894
obliterated	ختم کرنا	anger	0.894
infuriates	پریشان	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	دھماکہ خیز مواد	anger	0.894
killing	قتل	anger	0.893
combative	مجموعہ	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	انتقام	anger	0.886
torment	عذاب	anger	0.885
wrath	غضب	anger	0.885
vicious	شیطانی	anger	0.884
massacre	قتل عام	anger	0.882
threatening	دھمکی	anger	0.882
pissoff	پیشاب	anger	0.875
abhorrent	پرجوش	anger	0.875
bloodthirsty	خونی	anger	0.875
fighting	لڑائی	anger	0.868
annihilated	تباہ کن	anger	0.865
attacking	حملہ	anger	0.865
angriest	پریشانی	anger	0.864
