word	Uzbek-uz	emotion	emotion-intensity-score
outraged	g'azablangan	anger	0.964
brutality	shafqatsizlik	anger	0.959
hatred	nafrat	anger	0.953
hateful	nafratlangan	anger	0.940
terrorize	terrorizm	anger	0.939
violently	zo'ravonlik bilan	anger	0.938
infuriated	g'azablangan	anger	0.938
furious	g'azablangan	anger	0.929
enraged	g'azablangan	anger	0.927
furiously	g'azab bilan	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	qotil	anger	0.922
fury	g'azabi	anger	0.922
execution	bajarish	anger	0.917
angered	g'azablandi	anger	0.916
savagery	vahshiylik	anger	0.915
slaughtering	so'yish	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	sharmanda qilish	anger	0.912
annihilation	yo'q qilish	anger	0.912
assassinate	suiqasd qilish	anger	0.912
rage	g'azab	anger	0.911
loathe	nafratlanmoq	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	la'natlash	anger	0.906
fucktard	mushuk	anger	0.906
homicidal	qotillik	anger	0.906
furor	furor	anger	0.900
hostile	dushman	anger	0.898
annihilate	yo'q qilish	anger	0.898
murder	qotillik	anger	0.897
raging	g'azablangan	anger	0.896
vengeful	qasos	anger	0.894
rape	tajovuz	anger	0.894
ferocious	shafqatsiz	anger	0.894
pissed	ishdan haydaldi	anger	0.894
obliterated	yo'qolgan	anger	0.894
infuriates	g'azablanganlar	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	portlovchi moddalar	anger	0.894
killing	o'ldirish	anger	0.893
combative	jangchi	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	intiqom	anger	0.886
torment	azob	anger	0.885
wrath	g'azab	anger	0.885
vicious	yomon	anger	0.884
massacre	qirg'in	anger	0.882
threatening	tahdid qilmoqda	anger	0.882
pissoff	yomonsoff	anger	0.875
abhorrent	jirkanch	anger	0.875
bloodthirsty	qonga botgan	anger	0.875
fighting	jang qilish	anger	0.868
annihilated	yo'q qilindi	anger	0.865
attacking	hujum qilish	anger	0.865
angriest	angriest	anger	0.864
bloodshed	qon to'kdi	anger	0.864
smite	zarba bering	anger	0.862
brawl	janjal	anger	0.861
assault	hujum	anger	0.859
malicious	zararli	anger	0.859
strangle	bo'g'ilib qoladi	anger	0.859
tirade	tirad	anger	0.859
explode	portlashi mumkin	anger	0.859
assassination	suiqasd	anger	0.859
hostility	dushmanlik	anger	0.859
loathsome	jirkanch	anger	0.857
