word	Welsh-cy	emotion	emotion-intensity-score
outraged	anhygoel	anger	0.964
brutality	brwdfrydedd	anger	0.959
hatred	casineb	anger	0.953
hateful	casineb	anger	0.940
terrorize	terfysgo	anger	0.939
violently	yn dreisgar	anger	0.938
infuriated	yn aflonyddu	anger	0.938
furious	yn flinedig	anger	0.929
enraged	enraged	anger	0.927
furiously	yn ffyrnig	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	llofrudd	anger	0.922
fury	ffwrn	anger	0.922
execution	gweithredu	anger	0.917
angered	angered	anger	0.916
savagery	bywyd gwyllt	anger	0.915
slaughtering	lladd	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	dileu	anger	0.912
assassinate	llofruddio	anger	0.912
rage	rage	anger	0.911
loathe	cariad	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damniad	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	lladdiad	anger	0.906
furor	ffwrn	anger	0.900
hostile	yn gelyniaethus	anger	0.898
annihilate	dileu	anger	0.898
murder	llofruddiaeth	anger	0.897
raging	yn rhyfeddu	anger	0.896
vengeful	yn ddialog	anger	0.894
rape	trais rhywiol	anger	0.894
ferocious	ffyrnig	anger	0.894
pissed	pissed	anger	0.894
obliterated	wedi'i dileu	anger	0.894
infuriates	yn rhyfedd	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	ffrwydrol	anger	0.894
killing	lladd	anger	0.893
combative	cyfatebol	anger	0.891
gofuckyourself	cofuckyourself	anger	0.886
vengeance	dial	anger	0.886
torment	torment	anger	0.885
wrath	llid	anger	0.885
vicious	dieflig	anger	0.884
massacre	llofruddiaeth	anger	0.882
threatening	bygythiol	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	yn rhyfeddol	anger	0.875
bloodthirsty	gwaedlyd	anger	0.875
fighting	ymladd	anger	0.868
annihilated	wedi'i ddileu	anger	0.865
attacking	ymosod	anger	0.865
angriest	angriest	anger	0.864
bloodshed	gwaed gwaed	anger	0.864
