word	Xhosa-xh	emotion	emotion-intensity-score
outraged	ucaphukile	anger	0.964
brutality	bubi	anger	0.959
hatred	inzondo	anger	0.953
hateful	thiyile	anger	0.940
terrorize	ukuthuthumela	anger	0.939
violently	ngokukhawuleza	anger	0.938
infuriated	yacaphuka	anger	0.938
furious	nomsindo	anger	0.929
enraged	nomsindo	anger	0.927
furiously	ngokukhawuleza	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	umbulali	anger	0.922
fury	bushushu	anger	0.922
execution	kuqhutywa	anger	0.917
angered	nomsindo	anger	0.916
savagery	ukuzingela	anger	0.915
slaughtering	ukuxhela	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	Mka le	anger	0.912
annihilation	ukutshabalalisa	anger	0.912
assassinate	bulala	anger	0.912
rage	nomsindo	anger	0.911
loathe	kuthotywa	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	ukulahlwa	anger	0.906
fucktard	ibhokhwe	anger	0.906
homicidal	zokuzibulala	anger	0.906
furor	uboya	anger	0.900
hostile	ngendawo	anger	0.898
annihilate	ku tsha balala	anger	0.898
murder	ku bulala	anger	0.897
raging	ukuvutha	anger	0.896
vengeful	ndezela	anger	0.894
rape	dlwengulo	anger	0.894
ferocious	buhlungu	anger	0.894
pissed	iphoswe	anger	0.894
obliterated	ku pheliswa	anger	0.894
infuriates	ukuthukuthela	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	kuqhuma	anger	0.894
killing	bulala	anger	0.893
combative	ukulwa	anger	0.891
gofuckyourself	hambozimosha	anger	0.886
vengeance	impindezelo	anger	0.886
torment	intlungu	anger	0.885
wrath	umsindo	anger	0.885
vicious	ezintle	anger	0.884
massacre	ku bulala	anger	0.882
threatening	esongelayo	anger	0.882
pissoff	caphukisandicaphukise	anger	0.875
abhorrent	ku nyelisa	anger	0.875
bloodthirsty	igazi	anger	0.875
fighting	ukulwa	anger	0.868
annihilated	tsha balala	anger	0.865
attacking	hlasela	anger	0.865
angriest	buhlungu	anger	0.864
bloodshed	igazi	anger	0.864
smite	bulala	anger	0.862
brawl	i-brawl	anger	0.861
assault	ku hlaselwa	anger	0.859
malicious	ezimbi	anger	0.859
strangle	ukukhawuleza	anger	0.859
tirade	tirade	anger	0.859
explode	kuqhuma	anger	0.859
assassination	bulala	anger	0.859
hostility	ubundlobongela	anger	0.859
loathsome	lihlazo	anger	0.857
hell	esihogweni	anger	0.853
murderous	bulala	anger	0.853
attack	hlaselwa	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	ulwabilo	anger	0.851
beating	ukubetha	anger	0.849
desecration	ukutshutshiswa	anger	0.848
pissingmeoff	ukukhangela	anger	0.848
outrage	nomsindo	anger	0.848
stab	ugweba	anger	0.844
slaughter	bulawa	anger	0.844
violent	nyamelo	anger	0.844
destroying	ukutshabalalisa	anger	0.844
abomination	sikizi	anger	0.844
tumultuous	ixhala	anger	0.844
irate	ukucaphuka	anger	0.844
infuriate	nomsindo	anger	0.844
obliterate	ku pheliswa	anger	0.843
belligerent	bhinqa	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	uyamthiya	anger	0.838
hostilities	ngxabano	anger	0.837
prick	ukuthoba	anger	0.835
torture	ukuhlushwa	anger	0.833
rabid	ku xhaphaza	anger	0.833
horrid	zixakeke	anger	0.833
rampage	ukugqithisa	anger	0.833
cruelty	bukhohlakele	anger	0.833
hate	thiyile	anger	0.828
demonic	iidemon	anger	0.828
hating	thiyile	anger	0.828
satanic	uSathana	anger	0.828
tyrannical	tyandeni	anger	0.828
ragemode	NO TRANSLATION	anger	0.828
despicable	u ku daniswa	anger	0.828
ruinous	ntsha balala	anger	0.825
condemn	kugweba	anger	0.825
riots	izibambano	anger	0.824
demolish	ku diliza	anger	0.824
angry	nomsindo	anger	0.824
extermination	ku pheliswa	anger	0.824
dickhead	dickhead	anger	0.824
livid	ecacileyo	anger	0.821
madman	madman	anger	0.820
vindictive	ukunyanzelisa	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ukuvutha	anger	0.818
venomous	buhlungu	anger	0.818
threaten	zi songela	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	ugorha	anger	0.818
abhor	uyanyanyeka	anger	0.816
savage	yintlanzi	anger	0.814
atrocity	kuhlaselwa	anger	0.814
carnage	ukubulala	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	xhatshazwa	anger	0.812
tyrant	umtyholi	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	ndicaphukile	anger	0.812
vendetta	vendetta	anger	0.812
fierce	buhlungu	anger	0.812
destroyer	mtshabalazi	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	i-barbaric	anger	0.812
anger	umsindo	anger	0.811
pieceofshit	ipisi yekaka	anger	0.810
slam	slam	anger	0.803
fights	ulwa	anger	0.803
punched	kuhlwaywa	anger	0.803
bitch	i-bitch	anger	0.803
punching	ukubetha	anger	0.803
homicide	bulala	anger	0.803
destructive	kutshabalalisa	anger	0.797
ruthless	onobubi	anger	0.797
villainous	ababi	anger	0.797
slap	ukubetha	anger	0.791
slaughterhouse	ukuxhela	anger	0.788
punishing	sohlwaya	anger	0.788
destroyed	tsha balala	anger	0.788
retaliatory	impindiselo	anger	0.788
riot	ukuqhuma	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	ukukhala	anger	0.788
growthefuckup	ukukhula	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	bulala	anger	0.783
clash	ngqubana	anger	0.783
bloody	igazi	anger	0.781
hellish	isihogo	anger	0.781
loath	lihle	anger	0.781
detonation	ukutshatyalaliswa	anger	0.781
quarrel	ngxabano	anger	0.781
sinister	siyingozi	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	ukumangalela	anger	0.779
treacherous	buqhetseba	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	bu yisela	anger	0.773
revulsion	ukuvukela	anger	0.773
madder	udoti	anger	0.773
horrific	yingozi	anger	0.773
scorn	ngcikivo	anger	0.769
deplorable	buhlungu	anger	0.766
bomb	ibhokhwe	anger	0.766
anarchist	i-anarchist	anger	0.765
devastation	ukubhujiswa	anger	0.765
resent	nomsindo	anger	0.765
firestorm	somlilo	anger	0.765
contemptible	xha laselwa	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	ngendawo	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	bulala	anger	0.758
smash	sitshitshise	anger	0.758
rant	i-rant	anger	0.758
outburst	ukuqhuma	anger	0.757
snarl	kuhlutha	anger	0.754
profane	ngcolisi	anger	0.750
offend	khubeka	anger	0.750
douchebags	i-douchebags	anger	0.750
growling	ukukhaluma	anger	0.750
stfu	stfu	anger	0.750
vulgarity	uhlazo	anger	0.750
dontmesswithme	kunye naso	anger	0.750
crazed	yidanga	anger	0.750
despise	zidela	anger	0.750
horror	kutyhafa	anger	0.750
aggravating	ukunyuka	anger	0.750
revolting	ukuvukela	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	usongelo	anger	0.742
erupt	kuqhuma	anger	0.742
screaming	ukukhala	anger	0.742
violence	nodlova	anger	0.742
horrible	ezibi	anger	0.742
molestation	ukuxhatshazwa	anger	0.742
bastards	bastards	anger	0.741
revenge	ndezela	anger	0.738
catastrophe	ntlekele	anger	0.735
menacing	u ku sukela	anger	0.735
demon	idemoni	anger	0.735
crushing	ukutyumza	anger	0.735
damn	Demethi	anger	0.735
persecute	tshutshisa	anger	0.734
argue	ngxabano	anger	0.734
flog	fukelwa	anger	0.734
revolt	mvukelo	anger	0.734
thrash	thrash	anger	0.734
deplore	ukunyanzela	anger	0.734
warfare	imfazwe	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	ngxamele	anger	0.734
riotous	ephazamisayo	anger	0.734
altercation	utshintsho	anger	0.729
warlike	njengemfazwe	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mnye	anger	0.727
castrate	castrate	anger	0.727
sabotage	isabatha	anger	0.727
malevolent	ezinobundlobongela	anger	0.721
strike	isiteyhini	anger	0.721
disaster	ntlekele	anger	0.721
disastrous	yingozi	anger	0.720
tumult	i ngxabano	anger	0.719
madden	madden	anger	0.719
devil	mtyholi	anger	0.719
scream	ukukhala	anger	0.719
brutal	buhlungu	anger	0.719
treachery	ukukhohlisa	anger	0.719
scorching	ukutshisa	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	amahhashi	anger	0.719
aggravates	ikhula	anger	0.719
spiteful	ukunyaniseka	anger	0.719
slay	bulala	anger	0.719
disdain	ku zi nyelisa	anger	0.719
choke	zinyuka	anger	0.719
bastarding	ukugcoba	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	kutyumba	anger	0.714
criminal	ulwaphulaphulo	anger	0.714
denunciation	ukugwetywa	anger	0.713
punch	i punch	anger	0.713
crucifixion	bebethelwe	anger	0.712
virulence	ukunyanzelisa	anger	0.712
battled	kulwa	anger	0.712
fatal	bulala	anger	0.712
holocaust	yokuqhumisela	anger	0.712
blasphemous	nyelisa	anger	0.712
hurting	buhlungu	anger	0.712
dumbasses	izidumbu	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	ehlekisa	anger	0.706
atrocious	buhlungu	anger	0.706
evil	bubi	anger	0.706
irritated	catshukiswa	anger	0.706
assassin	bulala	anger	0.703
dicks	dicks	anger	0.703
persecution	ntshutshiso	anger	0.703
slayer	mbulali	anger	0.703
kidnap	kuthatha	anger	0.703
scolding	kutyhalwa	anger	0.703
intimidation	soyiko	anger	0.703
aggravated	kuhlutha	anger	0.703
aggression	ulwalamano	anger	0.702
armed	zixhobile	anger	0.700
poison	utyhefu	anger	0.697
snarling	ngokukhawuleza	anger	0.697
venom	utyumbo	anger	0.697
battle	imfazwe	anger	0.697
disgruntled	ngcikizwa	anger	0.693
insidious	ekhohlakeleyo	anger	0.691
assailant	hlasela	anger	0.691
resentment	nentlungu	anger	0.691
lynch	lynch	anger	0.690
contemptuous	zibuhlungu	anger	0.690
temper	nomsindo	anger	0.688
imprisonment	valelwe entolongweni	anger	0.688
disparage	ukudideka	anger	0.688
bully	xhaphaza	anger	0.688
terrible	yoyikekayo	anger	0.688
lunatic	lunatic	anger	0.688
curse	siqalekiso	anger	0.688
makesmemad	i-makememad	anger	0.688
