word	Yiddish-yi	emotion	emotion-intensity-score
outraged	אַוטריידזשד	anger	0.964
brutality	ברוטאַליטי	anger	0.959
hatred	האַס	anger	0.953
hateful	hateful	anger	0.940
terrorize	טעראָריזירן	anger	0.939
violently	violently	anger	0.938
infuriated	ינפיוריייטיד	anger	0.938
furious	ופגעקאָכט	anger	0.929
enraged	ינריידזשד	anger	0.927
furiously	furiously	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	מערדער	anger	0.922
fury	צאָרן	anger	0.922
execution	דורכפירונג	anger	0.917
angered	angered	anger	0.916
savagery	savagery	anger	0.915
slaughtering	שחיטה	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	אַנייאַליישאַן	anger	0.912
assassinate	assassinate	anger	0.912
rage	rage	anger	0.911
loathe	loathe	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	דאַמניישאַן	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidal	anger	0.906
furor	פוראָר	anger	0.900
hostile	פייַנדלעך	anger	0.898
annihilate	annihilate	anger	0.898
murder	מאָרד	anger	0.897
raging	raging	anger	0.896
vengeful	ווענדזשאַבאַל	anger	0.894
rape	שענדונג	anger	0.894
ferocious	פעראָושאַס	anger	0.894
pissed	פּיסט	anger	0.894
obliterated	obliterated	anger	0.894
infuriates	ינפיורייייץ	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	עקספּלאָסיווע	anger	0.894
killing	מאָרד	anger	0.893
combative	קאַמבאַטיוו	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	נעקאָמע	anger	0.886
torment	torment	anger	0.885
wrath	גרימצארן	anger	0.885
vicious	ראָצכיש	anger	0.884
massacre	מאַססאַקרע	anger	0.882
threatening	טרעטאַנז	anger	0.882
pissoff	פּיססאָף	anger	0.875
abhorrent	אַבלאָרענט	anger	0.875
bloodthirsty	בלאַדטערסטי	anger	0.875
fighting	פייטינג	anger	0.868
annihilated	אַנייאַלייטיד	anger	0.865
attacking	attacking	anger	0.865
angriest	Angriest	anger	0.864
bloodshed	בלאָאָדשעד	anger	0.864
smite	שלאָגן	anger	0.862
brawl	בראָל	anger	0.861
assault	אַטאַקע	anger	0.859
malicious	בייזע	anger	0.859
strangle	שטאַפּל	anger	0.859
tirade	tirade	anger	0.859
explode	ופרייַסן	anger	0.859
assassination	אַסאַסאַניישאַן	anger	0.859
hostility	שינאה	anger	0.859
loathsome	loathsome	anger	0.857
hell	hell	anger	0.853
murderous	מאָרד	anger	0.853
attack	באַפאַלן	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	טעראָריזם	anger	0.851
beating	ביטינג	anger	0.849
desecration	דיסעקראַטיאָן	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	ומרויק	anger	0.848
stab	שטעכן	anger	0.844
slaughter	שחיטה	anger	0.844
violent	גוואַלדיק	anger	0.844
destroying	דיסטרויינג	anger	0.844
abomination	אַבאַמאַניישאַן	anger	0.844
