word	Yoruba-yo	emotion	emotion-intensity-score
outraged	outraged	anger	0.964
brutality	ibawi	anger	0.959
hatred	ikorira	anger	0.953
hateful	korira	anger	0.940
terrorize	terrize	anger	0.939
violently	agbara	anger	0.938
infuriated	aibanujẹ	anger	0.938
furious	ibinu	anger	0.929
enraged	enraged	anger	0.927
furiously	furiously	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	apaniyan	anger	0.922
fury	ibinu	anger	0.922
execution	ipaniyan	anger	0.917
angered	binu	anger	0.916
savagery	ijabọ	anger	0.915
slaughtering	ipaniyan	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	annihilation	anger	0.912
assassinate	o pa	anger	0.912
rage	ibinu	anger	0.911
loathe	loathe	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnation	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidal	anger	0.906
furor	furor	anger	0.900
hostile	ṣodi si	anger	0.898
annihilate	ti paarọ	anger	0.898
murder	ipaniyan	anger	0.897
raging	raging	anger	0.896
vengeful	ẹsan	anger	0.894
rape	ifipabanilopo	anger	0.894
ferocious	ferocious	anger	0.894
pissed	binu	anger	0.894
obliterated	rọwọ	anger	0.894
infuriates	aibanujẹ	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	awọn ibẹjadi	anger	0.894
killing	pipa	anger	0.893
combative	combative	anger	0.891
gofuckyourself	gofuckyselfself	anger	0.886
vengeance	igbẹsan	anger	0.886
torment	ibanujẹ	anger	0.885
wrath	ibinu	anger	0.885
vicious	vicious	anger	0.884
massacre	ipakupa	anger	0.882
threatening	idẹruba	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	aboruru	anger	0.875
bloodthirsty	ibajẹ ẹjẹ	anger	0.875
fighting	ija	anger	0.868
annihilated	annihilated	anger	0.865
attacking	kolu	anger	0.865
angriest	angriest	anger	0.864
bloodshed	ẹjẹ	anger	0.864
smite	lu	anger	0.862
brawl	agbọn	anger	0.861
assault	sele si	anger	0.859
malicious	irira	anger	0.859
strangle	strangle	anger	0.859
tirade	tirade	anger	0.859
explode	gbamu	anger	0.859
assassination	ipaniyan	anger	0.859
hostility	imudaniloju	anger	0.859
loathsome	ipalara	anger	0.857
hell	apaadi	anger	0.853
murderous	apaniyan	anger	0.853
attack	kolu	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	ipanilaya	anger	0.851
beating	lilu	anger	0.849
desecration	desecration	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	irunu	anger	0.848
stab	agbọn	anger	0.844
slaughter	ipakupa	anger	0.844
violent	iwa-ipa	anger	0.844
destroying	iparun	anger	0.844
abomination	irira	anger	0.844
tumultuous	tumultuous	anger	0.844
irate	irate	anger	0.844
infuriate	aibanujẹ	anger	0.844
obliterate	obliterate	anger	0.843
belligerent	belligerent	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	detest	anger	0.838
hostilities	igboro	anger	0.837
prick	prick	anger	0.835
torture	iwa ipọnju	anger	0.833
rabid	rabid	anger	0.833
horrid	ibanujẹ	anger	0.833
rampage	rampage	anger	0.833
cruelty	ìkà	anger	0.833
hate	korira	anger	0.828
demonic	eṣu	anger	0.828
hating	korira	anger	0.828
satanic	satanic	anger	0.828
tyrannical	aṣoju	anger	0.828
ragemode	NO TRANSLATION	anger	0.828
despicable	alaafia	anger	0.828
ruinous	iparun	anger	0.825
condemn	idajọ	anger	0.825
riots	riots	anger	0.824
demolish	woli	anger	0.824
angry	binu	anger	0.824
extermination	iparun	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	asiwere	anger	0.820
vindictive	njẹri	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	o jẹun	anger	0.818
threaten	Irokeke	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	apanilaya	anger	0.818
abhor	korira	anger	0.816
savage	aṣiwèrè	anger	0.814
atrocity	atrocity	anger	0.814
carnage	awọn oniroyin	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	abuse	anger	0.812
tyrant	alakoso	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	inu bibi	anger	0.812
vendetta	vendetta	anger	0.812
fierce	imuna	anger	0.812
destroyer	apanirun	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	alabọn	anger	0.812
anger	ibinu	anger	0.811
pieceofshit	nkanofshit	anger	0.810
slam	slam	anger	0.803
fights	njà	anger	0.803
punched	ti o ni	anger	0.803
bitch	bishi	anger	0.803
punching	Pọnku	anger	0.803
homicide	homicide	anger	0.803
destructive	iparun	anger	0.797
ruthless	alailopin	anger	0.797
villainous	ẹlẹwà	anger	0.797
slap	labara	anger	0.791
slaughterhouse	ipakoko	anger	0.788
punishing	ijiya	anger	0.788
destroyed	run	anger	0.788
retaliatory	retaliatory	anger	0.788
riot	ariyanjiyan	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	yelling	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	apaniyan	anger	0.783
clash	figagbaga	anger	0.783
bloody	itajesile	anger	0.781
hellish	apaadi	anger	0.781
loath	ipalara	anger	0.781
detonation	detonation	anger	0.781
quarrel	ija	anger	0.781
sinister	ọdajẹ	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	sùn	anger	0.779
treacherous	treacherous	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	retaliate	anger	0.773
revulsion	igbesẹ	anger	0.773
madder	madder	anger	0.773
horrific	ẹru	anger	0.773
scorn	ẹgan	anger	0.769
deplorable	ipalara	anger	0.766
bomb	bombu	anger	0.766
anarchist	anarchist	anger	0.765
devastation	iparun	anger	0.765
resent	resent	anger	0.765
firestorm	ina	anger	0.765
contemptible	ohun ti o ni imọran	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	onilara	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	oloro	anger	0.758
smash	fọ	anger	0.758
rant	rant	anger	0.758
outburst	outburst	anger	0.757
snarl	snarl	anger	0.754
profane	ibajẹ	anger	0.750
offend	ṣe aiṣedede	anger	0.750
douchebags	douchebags	anger	0.750
growling	didùn	anger	0.750
stfu	stfu	anger	0.750
vulgarity	aibuku	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	kẹgàn	anger	0.750
horror	ibanuje	anger	0.750
aggravating	aggravating	anger	0.750
revolting	atako	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	irokeke	anger	0.742
erupt	erupt	anger	0.742
screaming	ikigbe ni igbekun	anger	0.742
violence	iwa-ipa	anger	0.742
horrible	ẹru	anger	0.742
molestation	ipalara	anger	0.742
bastards	awọn ale	anger	0.741
revenge	ẹsan	anger	0.738
catastrophe	iparun	anger	0.735
menacing	menacing	anger	0.735
demon	eṣu	anger	0.735
crushing	crushing	anger	0.735
damn	Gbaga	anger	0.735
persecute	inunibini si	anger	0.734
argue	jiyan	anger	0.734
flog	flog	anger	0.734
revolt	atako	anger	0.734
thrash	jamba	anger	0.734
deplore	deplore	anger	0.734
warfare	ogun	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	irora	anger	0.734
riotous	riotous	anger	0.734
altercation	altercation	anger	0.729
warlike	bi ogun	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mutiny	anger	0.727
castrate	castrate	anger	0.727
sabotage	ijabọ	anger	0.727
malevolent	maṣe	anger	0.721
strike	idasesile	anger	0.721
disaster	ajalu	anger	0.721
disastrous	ibajẹ	anger	0.720
tumult	ariwo	anger	0.719
madden	madden	anger	0.719
devil	esu	anger	0.719
scream	kigbe	anger	0.719
brutal	buru ju	anger	0.719
treachery	ẹtan	anger	0.719
scorching	didunku	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	aggravates	anger	0.719
spiteful	pelu	anger	0.719
slay	Pa	anger	0.719
disdain	disdain	anger	0.719
choke	choke	anger	0.719
bastarding	igbimọ	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	ipalara	anger	0.714
criminal	odaran	anger	0.714
denunciation	idibajẹ	anger	0.713
punch	Punch	anger	0.713
crucifixion	agbelebu	anger	0.712
virulence	virulence	anger	0.712
battled	battled	anger	0.712
fatal	apani	anger	0.712
holocaust	iworo	anger	0.712
blasphemous	ọrọ-odi	anger	0.712
hurting	ti nhuwa	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	atrocious	anger	0.706
evil	ibi	anger	0.706
irritated	irritated	anger	0.706
assassin	apaniyan	anger	0.703
dicks	dicks	anger	0.703
persecution	inunibini	anger	0.703
slayer	apaniyan	anger	0.703
kidnap	kidnap	anger	0.703
scolding	scolding	anger	0.703
intimidation	intimidation	anger	0.703
aggravated	ti o buru	anger	0.703
aggression	ifinikan	anger	0.702
armed	ologun	anger	0.700
poison	majele	anger	0.697
snarling	snarling	anger	0.697
venom	venom	anger	0.697
battle	ogun	anger	0.697
disgruntled	alaafia	anger	0.693
insidious	ẹtan	anger	0.691
assailant	assailant	anger	0.691
resentment	ìkóríra	anger	0.691
lynch	Lynch	anger	0.690
contemptuous	contemptuous	anger	0.690
temper	ibinu	anger	0.688
imprisonment	ewon	anger	0.688
disparage	disparage	anger	0.688
bully	bully	anger	0.688
terrible	ẹru	anger	0.688
lunatic	alaafia	anger	0.688
curse	egún	anger	0.688
makesmemad	makememad	anger	0.688
peeved	peeved	anger	0.688
domination	gaba gaba	anger	0.688
