word	Zulu-zu	emotion	emotion-intensity-score
outraged	uthukuthele	anger	0.964
brutality	ubuqili	anger	0.959
hatred	inzondo	anger	0.953
hateful	inzondo	anger	0.940
terrorize	ukuthuthumela	anger	0.939
violently	ngokweqile	anger	0.938
infuriated	inturiated	anger	0.938
furious	uthukuthele	anger	0.929
enraged	uthukuthele	anger	0.927
furiously	ngokufutheka	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	umbulali	anger	0.922
fury	ukufutheka	anger	0.922
execution	ukubulawa	anger	0.917
angered	uthukuthele	anger	0.916
savagery	ukuhlukumezeka	anger	0.915
slaughtering	ukuhlatshwa	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	Hamba la	anger	0.912
annihilation	ukubhujiswa	anger	0.912
assassinate	bulala	anger	0.912
rage	ukufutheka	anger	0.911
loathe	hlehlisa	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	ukulahlwa	anger	0.906
fucktard	ibhakede	anger	0.906
homicidal	i-homicidal	anger	0.906
furor	furor	anger	0.900
hostile	enonya	anger	0.898
annihilate	ukubhubhisa	anger	0.898
murder	ukubulala	anger	0.897
raging	ukuthukuthela	anger	0.896
vengeful	vengezela	anger	0.894
rape	ukudlwengula	anger	0.894
ferocious	enesabekayo	anger	0.894
pissed	iphoswe	anger	0.894
obliterated	kukhishwe	anger	0.894
infuriates	inturiates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	ukuqhuma	anger	0.894
killing	ukubulala	anger	0.893
combative	i-combative	anger	0.891
gofuckyourself	Hamba uyozifuqa	anger	0.886
vengeance	impindiselo	anger	0.886
torment	ukuhlushwa	anger	0.885
wrath	ulaka	anger	0.885
vicious	ezinonya	anger	0.884
massacre	ukubulala	anger	0.882
threatening	esongelayo	anger	0.882
pissoff	awu hambe la	anger	0.875
abhorrent	ukuzonda	anger	0.875
bloodthirsty	igazi	anger	0.875
fighting	ukulwa	anger	0.868
annihilated	ukubhujiswa	anger	0.865
attacking	ukuhlaselwa	anger	0.865
angriest	ukuthukuthela	anger	0.864
bloodshed	ukuchithwa kwegazi	anger	0.864
smite	shaya	anger	0.862
brawl	isibhamu	anger	0.861
assault	ukushaya	anger	0.859
malicious	enonya	anger	0.859
strangle	cindezela	anger	0.859
tirade	i-tirade	anger	0.859
explode	ukuqhuma	anger	0.859
assassination	ukubulawa	anger	0.859
hostility	ubutha	anger	0.859
loathsome	elihle	anger	0.857
hell	isihogo	anger	0.853
murderous	ukubulala	anger	0.853
attack	ukuhlasela	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	ubuphekula	anger	0.851
beating	ukushaya	anger	0.849
desecration	ukuchithwa	anger	0.848
pissingmeoff	i-pissingmeoff	anger	0.848
outrage	ukucasuka	anger	0.848
stab	ukugwaza	anger	0.844
slaughter	ukubulawa	anger	0.844
violent	enobudlova	anger	0.844
destroying	ukubhubhisa	anger	0.844
abomination	inengiso	anger	0.844
tumultuous	ukuhlukumezeka	anger	0.844
irate	ukucasuka	anger	0.844
infuriate	infuriate	anger	0.844
obliterate	ukuqeda	anger	0.843
belligerent	ukulwa	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	uzonda	anger	0.838
hostilities	impi	anger	0.837
prick	thinta	anger	0.835
torture	ukuhlushwa	anger	0.833
rabid	intukuthelo	anger	0.833
horrid	i-horrid	anger	0.833
rampage	ukuthutha	anger	0.833
cruelty	isihluku	anger	0.833
hate	inzondo	anger	0.828
demonic	idemoni	anger	0.828
hating	ukuzonda	anger	0.828
satanic	uSathane	anger	0.828
tyrannical	tyrannical	anger	0.828
